ID,Department,Municipality,Variety,Cropping_System,Sowing_Date,Sowing_Date_Est,Harvest_Date,Harvest_Date_Est,Yield
ENA_2009b_16172,TOLIMA,PURIFICACION,F60,RIEGO,8/15/2009,NO,11/20/2009,NO,8125
ENA_2009a_15371,TOLIMA,PURIFICACION,F733,RIEGO,3/16/2009,NO,6/24/2009,NO,7187.5
ENA_2008a_102531,TOLIMA,SALDANA,COPROSEM 2,RIEGO,5/28/2008,NO,9/9/2008,NO,5812.5
ES_2012_6_F2000_1,TOLIMA,SALDANA,F2000,RIEGO,1/15/2013,NO,5/8/2013,NO,9534.692442
ES_2012_6_F2000_2,TOLIMA,SALDANA,F2000,RIEGO,1/15/2013,NO,5/8/2013,NO,5824.830233
ES_2012_6_F2000_3,TOLIMA,SALDANA,F2000,RIEGO,1/15/2013,NO,5/8/2013,NO,8501.274419
ES_2012_6_F60_1,TOLIMA,SALDANA,F60,RIEGO,1/15/2013,NO,5/8/2013,NO,5832.235465
ES_2012_6_F60_2,TOLIMA,SALDANA,F60,RIEGO,1/15/2013,NO,5/8/2013,NO,3733.625581
ES_2012_6_F60_3,TOLIMA,SALDANA,F60,RIEGO,1/15/2013,NO,5/8/2013,NO,5931.218605
ES_2012_6_F733_1,TOLIMA,SALDANA,F733,RIEGO,1/15/2013,NO,5/8/2013,NO,5561.559302
ES_2012_6_F733_2,TOLIMA,SALDANA,F733,RIEGO,1/15/2013,NO,5/8/2013,NO,5968.77907
ES_2012_6_F733_3,TOLIMA,SALDANA,F733,RIEGO,1/15/2013,NO,5/8/2013,NO,7851.71686
ENA_2007a_101689,TOLIMA,SALDANA,F50,RIEGO,3/28/2007,NO,7/21/2007,NO,7687.5
ENA_2012a_10165,TOLIMA,SALDANA,ONLY RICE 228,RIEGO,5/4/2012,NO,8/29/2012,NO,5000
ES_2012_6_F50_1,TOLIMA,SALDANA,F50,RIEGO,1/15/2013,NO,5/12/2013,NO,4975.348837
ES_2012_6_F50_2,TOLIMA,SALDANA,F50,RIEGO,1/15/2013,NO,5/12/2013,NO,5240.723837
ES_2012_6_F50_3,TOLIMA,SALDANA,F50,RIEGO,1/15/2013,NO,5/12/2013,NO,4889.000581
ENA_2012a_16200,TOLIMA,PURIFICACION,F733,RIEGO,6/7/2012,NO,10/4/2012,NO,7625
ENA_2012a_16133,TOLIMA,PURIFICACION,F733,RIEGO,6/18/2012,NO,10/15/2012,NO,7812.5
ENA_2011a_101651,TOLIMA,SALDANA,LAGUNAS,RIEGO,5/2/2011,NO,8/29/2011,NO,5000
ES_2012_4_F2000_1,TOLIMA,SALDANA,F2000,RIEGO,9/6/2012,NO,1/3/2013,NO,4721.952907
ES_2012_4_F2000_2,TOLIMA,SALDANA,F2000,RIEGO,9/6/2012,NO,1/3/2013,NO,4982.787209
ES_2012_4_F2000_3,TOLIMA,SALDANA,F2000,RIEGO,9/6/2012,NO,1/3/2013,NO,4248.836628
ES_2012_4_F2000_4,TOLIMA,SALDANA,F2000,RIEGO,9/6/2012,NO,1/3/2013,NO,4284.686919
ES_2012_7_F2000_1,TOLIMA,SALDANA,F2000,RIEGO,2/21/2013,NO,6/20/2013,NO,4126.227907
ES_2012_7_F2000_2,TOLIMA,SALDANA,F2000,RIEGO,2/21/2013,NO,6/20/2013,NO,6524.069767
ES_2012_7_F2000_3,TOLIMA,SALDANA,F2000,RIEGO,2/21/2013,NO,6/20/2013,NO,5686.360465
ES_2012_7_F2000_4,TOLIMA,SALDANA,F2000,RIEGO,2/21/2013,NO,6/20/2013,NO,5607.209302
ES_2012_9_F2000_1,TOLIMA,SALDANA,F2000,RIEGO,4/2/2013,NO,7/30/2013,NO,6974.767442
ES_2012_9_F2000_2,TOLIMA,SALDANA,F2000,RIEGO,4/2/2013,NO,7/30/2013,NO,4884.222384
ES_2012_9_F2000_3,TOLIMA,SALDANA,F2000,RIEGO,4/2/2013,NO,7/30/2013,NO,6972.878634
ES_2012_9_F2000_4,TOLIMA,SALDANA,F2000,RIEGO,4/2/2013,NO,7/30/2013,NO,5005.638081
ES_2012_7_F60_1,TOLIMA,SALDANA,F60,RIEGO,2/21/2013,NO,6/20/2013,NO,5033.763081
ES_2012_7_F60_2,TOLIMA,SALDANA,F60,RIEGO,2/21/2013,NO,6/20/2013,NO,4774.491279
