Date,Value
19640301,0
19640302,0
19640303,0
19640304,0
19640305,10.6
19640306,0
19640307,0
19640308,0
19640309,0
19640310,8.8
19640311,0
19640312,0
19640313,10.9
19640314,0
19640315,0.7
19640316,48.3
19640317,0
19640318,0
19640319,0
19640320,0
19640321,28.6
19640322,0
19640323,0
19640324,0
19640325,0
19640326,0
19640327,0
19640328,0
19640329,0
19640330,0
19640331,0
19640401,0.1
19640402,0.4
19640403,22.2
19640404,0.2
19640405,32.1
19640406,45.9
19640407,0.8
19640408,2.3
19640409,2.6
19640410,1.8
19640411,0.5
19640412,0
19640413,18.2
19640414,0.8
19640415,17.6
19640416,0.2
19640417,0
19640418,0
19640419,45.9
19640420,0
19640421,0
19640422,0
19640423,0.3
19640424,0.2
19640425,63.3
19640426,6.7
19640427,0.1
19640428,0
19640429,0
19640430,4.3
19640501,NA
19640502,NA
19640503,NA
19640504,NA
19640505,NA
19640506,NA
19640507,NA
19640508,NA
19640509,NA
19640510,NA
19640511,NA
19640512,NA
19640513,NA
19640514,NA
19640515,NA
19640516,NA
19640517,NA
19640518,NA
19640519,NA
19640520,NA
19640521,NA
19640522,NA
19640523,NA
19640524,NA
19640525,NA
19640526,NA
19640527,NA
19640528,NA
19640529,NA
19640530,NA
19640531,NA
19640601,NA
19640602,NA
19640603,NA
19640604,NA
19640605,NA
19640606,NA
19640607,NA
19640608,NA
19640609,NA
19640610,NA
19640611,NA
19640612,NA
19640613,NA
19640614,NA
19640615,NA
19640616,NA
19640617,NA
19640618,NA
19640619,NA
19640620,NA
19640621,NA
19640622,NA
19640623,NA
19640624,NA
19640625,NA
19640626,NA
19640627,NA
19640628,NA
19640629,NA
19640630,NA
19640701,NA
19640702,NA
19640703,NA
19640704,NA
19640705,NA
19640706,NA
19640707,NA
19640708,NA
19640709,NA
19640710,NA
19640711,NA
19640712,NA
19640713,NA
19640714,NA
19640715,NA
19640716,NA
19640717,NA
19640718,NA
19640719,NA
19640720,NA
19640721,NA
19640722,NA
19640723,NA
19640724,NA
19640725,NA
19640726,NA
19640727,NA
19640728,NA
19640729,NA
19640730,NA
19640731,NA
19640801,NA
19640802,NA
19640803,NA
19640804,NA
19640805,NA
19640806,NA
19640807,NA
19640808,NA
19640809,NA
19640810,NA
19640811,NA
19640812,NA
19640813,NA
19640814,NA
19640815,NA
19640816,NA
19640817,NA
19640818,NA
19640819,NA
19640820,NA
19640821,NA
19640822,NA
19640823,NA
19640824,NA
19640825,NA
19640826,NA
19640827,NA
19640828,NA
19640829,NA
19640830,NA
19640831,NA
19640901,0
19640902,15
19640903,0.1
19640904,0
19640905,45.3
19640906,0.1
19640907,0.3
19640908,0
19640909,2.3
19640910,NA
19640911,NA
19640912,NA
19640913,NA
19640914,NA
19640915,NA
19640916,NA
19640917,NA
19640918,NA
19640919,NA
19640920,NA
19640921,NA
19640922,NA
19640923,NA
19640924,NA
19640925,NA
19640926,NA
19640927,NA
19640928,NA
19640929,NA
19640930,NA
19641001,NA
19641002,NA
19641003,NA
19641004,NA
19641005,NA
19641006,NA
19641007,NA
19641008,NA
19641009,NA
19641010,NA
19641011,NA
19641012,NA
19641013,NA
19641014,NA
19641015,NA
19641016,NA
19641017,NA
19641018,NA
19641019,NA
19641020,NA
19641021,NA
19641022,NA
19641023,NA
19641024,NA
19641025,42
19641026,0
19641027,0.1
19641028,0
19641029,5.7
19641030,7.1
19641031,6
19641101,0
19641102,0
19641103,64.9
19641104,40.7
19641105,10
19641106,0.4
19641107,33.3
19641108,1.1
19641109,0
19641110,0
19641111,0.2
19641112,1.3
19641113,15
19641114,0.8
19641115,2.4
19641116,0
19641117,11.4
19641118,7.3
19641119,0
19641120,0
19641121,0
19641122,11
19641123,45.4
19641124,0.5
19641125,6.6
19641126,0
19641127,0
19641128,0
19641129,0
19641130,0
19641201,0
19641202,1
19641203,0
19641204,0
19641205,0
19641206,0
19641207,0
19641208,0
19641209,3.4
19641210,0
19641211,0
19641212,0
19641213,0
19641214,0
19641215,0
19641216,0
19641217,0
19641218,8.7
19641219,0
19641220,0.3
19641221,0
19641222,0
19641223,0
19641224,6.2
19641225,0
19641226,0
19641227,0
19641228,0
19641229,0
19641230,0.2
19641231,50.1
19650101,NA
19650102,NA
19650103,NA
19650104,NA
19650105,NA
19650106,NA
19650107,NA
19650108,NA
19650109,NA
19650110,NA
19650111,NA
19650112,NA
19650113,NA
19650114,NA
19650115,NA
19650116,NA
19650117,NA
19650118,NA
19650119,NA
19650120,NA
19650121,NA
19650122,NA
19650123,NA
19650124,NA
19650125,NA
19650126,NA
19650127,NA
19650128,NA
19650129,NA
19650130,NA
19650131,NA
19650201,NA
19650202,NA
19650203,NA
19650204,NA
19650205,NA
19650206,NA
19650207,NA
19650208,NA
19650209,NA
19650210,NA
19650211,NA
19650212,NA
19650213,NA
19650214,NA
19650215,NA
19650216,NA
19650217,NA
19650218,NA
19650219,NA
19650220,NA
19650221,NA
19650222,NA
19650223,NA
19650224,NA
19650225,NA
19650226,NA
19650227,NA
19650228,NA
19650301,NA
19650302,NA
19650303,NA
19650304,NA
19650305,NA
19650306,NA
19650307,NA
19650308,NA
19650309,NA
19650310,NA
19650311,NA
19650312,NA
19650313,NA
19650314,NA
19650315,NA
19650316,NA
19650317,NA
19650318,NA
19650319,NA
19650320,NA
19650321,NA
19650322,NA
19650323,NA
19650324,NA
19650325,NA
19650326,NA
19650327,NA
19650328,NA
19650329,NA
19650330,NA
19650331,NA
19650401,NA
19650402,NA
19650403,NA
19650404,NA
19650405,NA
19650406,NA
19650407,NA
19650408,NA
19650409,NA
19650410,NA
19650411,NA
19650412,NA
19650413,NA
19650414,NA
19650415,NA
19650416,NA
19650417,NA
19650418,NA
19650419,NA
19650420,NA
19650421,NA
19650422,NA
19650423,NA
19650424,NA
19650425,NA
19650426,NA
19650427,NA
19650428,NA
19650429,NA
19650430,NA
19650501,NA
19650502,NA
19650503,NA
19650504,NA
19650505,NA
19650506,NA
19650507,NA
19650508,NA
19650509,NA
19650510,NA
19650511,NA
19650512,NA
19650513,NA
19650514,NA
19650515,NA
19650516,NA
19650517,NA
19650518,NA
19650519,NA
19650520,NA
19650521,NA
19650522,NA
19650523,NA
19650524,NA
19650525,NA
19650526,NA
19650527,NA
19650528,NA
19650529,NA
19650530,NA
19650531,NA
19650601,NA
19650602,NA
19650603,NA
19650604,NA
19650605,NA
19650606,NA
19650607,NA
19650608,NA
19650609,NA
19650610,NA
19650611,NA
19650612,NA
19650613,NA
19650614,NA
19650615,NA
19650616,NA
19650617,NA
19650618,NA
19650619,NA
19650620,NA
19650621,NA
19650622,NA
19650623,NA
19650624,NA
19650625,NA
19650626,NA
19650627,NA
19650628,NA
19650629,NA
19650630,NA
19650701,NA
19650702,NA
19650703,NA
19650704,NA
19650705,NA
19650706,NA
19650707,NA
19650708,NA
19650709,NA
19650710,NA
19650711,NA
19650712,NA
19650713,NA
19650714,NA
19650715,NA
19650716,NA
19650717,NA
19650718,NA
19650719,NA
19650720,NA
19650721,NA
19650722,NA
19650723,NA
19650724,NA
19650725,NA
19650726,NA
19650727,NA
19650728,NA
19650729,NA
19650730,NA
19650731,NA
19650801,NA
19650802,NA
19650803,NA
19650804,NA
19650805,NA
19650806,NA
19650807,NA
19650808,NA
19650809,NA
19650810,NA
19650811,NA
19650812,NA
19650813,NA
19650814,NA
19650815,NA
19650816,NA
19650817,NA
19650818,NA
19650819,NA
19650820,NA
19650821,NA
19650822,NA
19650823,NA
19650824,NA
19650825,NA
19650826,NA
19650827,NA
19650828,NA
19650829,NA
19650830,NA
19650831,NA
19650901,NA
19650902,NA
19650903,NA
19650904,NA
19650905,NA
19650906,NA
19650907,NA
19650908,NA
19650909,NA
19650910,NA
19650911,NA
19650912,NA
19650913,NA
19650914,NA
19650915,NA
19650916,NA
19650917,NA
19650918,NA
19650919,NA
19650920,NA
19650921,NA
19650922,NA
19650923,NA
19650924,NA
19650925,NA
19650926,NA
19650927,NA
19650928,NA
19650929,NA
19650930,NA
19651001,NA
19651002,NA
19651003,NA
19651004,NA
19651005,NA
19651006,NA
19651007,NA
19651008,NA
19651009,NA
19651010,NA
19651011,NA
19651012,NA
19651013,NA
19651014,NA
19651015,NA
19651016,NA
19651017,NA
19651018,NA
19651019,NA
19651020,NA
19651021,NA
19651022,NA
19651023,NA
19651024,NA
19651025,NA
19651026,NA
19651027,NA
19651028,NA
19651029,NA
19651030,NA
19651031,NA
19651101,NA
19651102,NA
19651103,NA
19651104,NA
19651105,NA
19651106,NA
19651107,NA
19651108,NA
19651109,NA
19651110,NA
19651111,NA
19651112,NA
19651113,NA
19651114,NA
19651115,NA
19651116,NA
19651117,NA
19651118,NA
19651119,NA
19651120,NA
19651121,NA
19651122,NA
19651123,NA
19651124,NA
19651125,NA
19651126,NA
19651127,NA
19651128,NA
19651129,NA
19651130,NA
19651201,NA
19651202,NA
19651203,NA
19651204,NA
19651205,NA
19651206,NA
19651207,NA
19651208,NA
19651209,NA
19651210,NA
19651211,NA
19651212,NA
19651213,NA
19651214,NA
19651215,NA
19651216,NA
19651217,NA
19651218,NA
19651219,NA
19651220,NA
19651221,NA
19651222,NA
19651223,NA
19651224,NA
19651225,NA
19651226,NA
19651227,NA
19651228,NA
19651229,NA
19651230,NA
19651231,NA
19660101,NA
19660102,NA
19660103,NA
19660104,NA
19660105,NA
19660106,NA
19660107,NA
19660108,NA
19660109,NA
19660110,NA
19660111,NA
19660112,NA
19660113,NA
19660114,NA
19660115,NA
19660116,NA
19660117,NA
19660118,NA
19660119,NA
19660120,NA
19660121,NA
19660122,NA
19660123,NA
19660124,NA
19660125,NA
19660126,NA
19660127,NA
19660128,NA
19660129,NA
19660130,NA
19660131,NA
19660201,NA
19660202,NA
19660203,NA
19660204,NA
19660205,NA
19660206,NA
19660207,NA
19660208,NA
19660209,NA
19660210,NA
19660211,NA
19660212,NA
19660213,NA
19660214,NA
19660215,NA
19660216,NA
19660217,NA
19660218,NA
19660219,NA
19660220,NA
19660221,NA
19660222,NA
19660223,NA
19660224,NA
19660225,NA
19660226,NA
19660227,NA
19660228,NA
19660301,NA
19660302,NA
19660303,NA
19660304,NA
19660305,NA
19660306,NA
19660307,NA
19660308,NA
19660309,NA
19660310,NA
19660311,NA
19660312,NA
19660313,NA
19660314,NA
19660315,NA
19660316,NA
19660317,NA
19660318,NA
19660319,NA
19660320,NA
19660321,NA
19660322,NA
19660323,NA
19660324,NA
19660325,NA
19660326,NA
19660327,NA
19660328,NA
19660329,NA
19660330,NA
19660331,NA
19660401,NA
19660402,NA
19660403,NA
19660404,NA
19660405,NA
19660406,NA
19660407,NA
19660408,NA
19660409,NA
19660410,NA
19660411,NA
19660412,NA
19660413,NA
19660414,NA
19660415,NA
19660416,NA
19660417,NA
19660418,NA
19660419,NA
19660420,NA
19660421,NA
19660422,NA
19660423,NA
19660424,NA
19660425,NA
19660426,NA
19660427,NA
19660428,NA
19660429,NA
19660430,NA
19660501,NA
19660502,NA
19660503,NA
19660504,NA
19660505,NA
19660506,NA
19660507,NA
19660508,NA
19660509,NA
19660510,NA
19660511,NA
19660512,NA
19660513,NA
19660514,NA
19660515,NA
19660516,NA
19660517,NA
19660518,NA
19660519,NA
19660520,NA
19660521,NA
19660522,NA
19660523,NA
19660524,NA
19660525,NA
19660526,NA
19660527,NA
19660528,NA
19660529,NA
19660530,NA
19660531,NA
19660601,NA
19660602,NA
19660603,NA
19660604,NA
19660605,NA
19660606,NA
19660607,NA
19660608,NA
19660609,NA
19660610,NA
19660611,NA
19660612,NA
19660613,NA
19660614,NA
19660615,NA
19660616,NA
19660617,NA
19660618,NA
19660619,NA
19660620,NA
19660621,NA
19660622,NA
19660623,NA
19660624,NA
19660625,NA
19660626,NA
19660627,NA
19660628,NA
19660629,NA
19660630,NA
19660701,NA
19660702,NA
19660703,NA
19660704,NA
19660705,NA
19660706,NA
19660707,NA
19660708,NA
19660709,NA
19660710,NA
19660711,NA
19660712,NA
19660713,NA
19660714,NA
19660715,NA
19660716,NA
19660717,NA
19660718,NA
19660719,NA
19660720,NA
19660721,NA
19660722,NA
19660723,NA
19660724,NA
19660725,NA
19660726,NA
19660727,NA
19660728,NA
19660729,NA
19660730,NA
19660731,NA
19660801,NA
19660802,NA
19660803,NA
19660804,NA
19660805,NA
19660806,NA
19660807,NA
19660808,NA
19660809,NA
19660810,NA
19660811,NA
19660812,NA
19660813,NA
19660814,NA
19660815,NA
19660816,NA
19660817,NA
19660818,NA
19660819,NA
19660820,NA
19660821,NA
19660822,NA
19660823,NA
19660824,NA
