Date,Value
19870821,1.5
19870822,0
19870823,8.8
19870824,1.7
19870825,2.9
19870826,5.7
19870827,3.1
19870828,6.9
19870829,3.7
19870830,2.8
19870831,3.6
19870901,0.3
19870902,8.6
19870903,3.4
19870904,1.2
19870905,4.1
19870906,8.4
19870907,7.7
19870908,2.9
19870909,4.6
19870910,9
19870911,7.2
19870912,9.4
19870913,9.7
19870914,8.7
19870915,6.8
19870916,7.6
19870917,6
19870918,4.3
19870919,3.9
19870920,3
19870921,9
19870922,2.1
19870923,0
19870924,7.1
19870925,0.8
19870926,6.5
19870927,8.4
19870928,9.2
19870929,9.3
19870930,1.5
19871001,8.2
19871002,4.7
19871003,4
19871004,7.8
19871005,4.7
19871006,7.4
19871007,5.2
19871008,3.9
19871009,0.8
19871010,5.1
19871011,5.7
19871012,6.4
19871013,3.9
19871014,3.1
19871015,7.3
19871016,2.3
19871017,4.4
19871018,2.4
19871019,7.3
19871020,5.9
19871021,5.5
19871022,5.7
19871023,3.1
19871024,2.6
19871025,6
19871026,5.3
19871027,9.2
19871028,1.9
19871029,3.4
19871030,3.7
19871031,9.9
19871101,NA
19871102,2
19871103,0.3
19871104,2.7
19871105,6.4
19871106,3.6
19871107,10.3
19871108,4.8
19871109,7.7
19871110,4.5
19871111,5.4
19871112,9.3
19871113,3.8
19871114,10.1
19871115,7.3
19871116,10
19871117,4.5
19871118,2.4
19871119,3.8
19871120,3.6
19871121,4.5
19871122,7.7
19871123,8
19871124,9.8
19871125,4
19871126,6.1
19871127,5.5
19871128,4.1
19871129,5
19871130,0.3
19871201,5.4
19871202,2.2
19871203,4.7
19871204,8.4
19871205,8.9
19871206,7.2
19871207,3.5
19871208,8.5
19871209,6.5
19871210,6.3
19871211,7.1
19871212,3.4
19871213,6.4
19871214,3.9
19871215,8.1
19871216,9.2
19871217,8
19871218,9.5
19871219,6
19871220,2.3
19871221,8.8
19871222,9.7
19871223,10.5
19871224,9.5
19871225,10
19871226,8
19871227,9.7
19871228,8.3
19871229,8.2
19871230,7.5
19871231,5.7
19880101,7.9
19880102,9.5
19880103,8.5
19880104,8.8
19880105,9.6
19880106,7.8
19880107,7.4
19880108,6.8
19880109,6.2
19880110,7.3
19880111,7.4
19880112,9.9
19880113,9.9
19880114,7.9
19880115,6
19880116,6.5
19880117,6.6
19880118,7.4
19880119,5.1
19880120,8.8
19880121,7
19880122,7.8
19880123,6.9
19880124,8.5
19880125,6.8
19880126,8.9
19880127,3.4
19880128,6
19880129,2.8
19880130,6.2
19880131,6.2
19880201,8.6
19880202,5.4
19880203,7.5
19880204,5.5
19880205,5.9
19880206,9
19880207,0.8
19880208,6.7
19880209,3.4
19880210,5
19880211,2.4
19880212,4.2
19880213,4.7
19880214,3.6
19880215,7.1
19880216,6.5
19880217,5.7
19880218,9.5
19880219,7.6
19880220,7.4
19880221,6.3
19880222,2.1
19880223,4.3
19880224,2.9
19880225,9.5
19880226,5
19880227,0.2
19880228,1.8
19880229,7.9
19880301,8.1
19880302,8.6
19880303,6.4
19880304,8.6
19880305,6.5
19880306,7.6
19880307,9
19880308,3.9
19880309,2.1
19880310,6.8
19880311,8.7
19880312,7.3
19880313,5.4
19880314,6.7
19880315,7.5
19880316,0
19880317,9.1
19880318,7.7
19880319,8.7
19880320,7
19880321,3.6
19880322,9.5
19880323,8
19880324,8.5
19880325,7.9
19880326,0
19880327,1.1
19880328,3.8
19880329,1.7
19880330,2.4
19880331,4.8
19880401,3.6
19880402,0.9
19880403,6.8
19880404,4
19880405,4.4
19880406,0
19880407,0.5
19880408,5.8
19880409,2.8
19880410,3.8
19880411,1.7
19880412,6.4
19880413,0
19880414,7.6
19880415,2.9
19880416,0
19880417,0
19880418,8
19880419,6.7
19880420,0
19880421,1.2
19880422,1.4
19880423,9.8
19880424,7.7
19880425,9
19880426,0.7
19880427,2
19880428,4.9
19880429,2.3
19880430,6.3
19880501,6.8
19880502,0.5
19880503,9.2
19880504,1.5
19880505,9.7
19880506,5.2
19880507,6.7
19880508,6.8
19880509,5.3
19880510,2.5
19880511,3.5
19880512,4.7
19880513,2.3
19880514,2.5
19880515,3.6
19880516,9.5
19880517,6.9
19880518,1
19880519,3.7
19880520,3.2
19880521,3.2
19880522,3.2
19880523,3
19880524,4.9
19880525,4.3
19880526,3.4
19880527,3.3
19880528,3.6
19880529,9
19880530,NA
19880531,7.9
19880601,0.3
19880602,6.7
19880603,2.1
19880604,4.4
19880605,6
19880606,9.5
19880607,8.9
19880608,7.4
19880609,4.9
19880610,0.4
19880611,5.6
19880612,1.1
19880613,4.5
19880614,3.9
19880615,8.4
19880616,5
19880617,NA
19880618,0
19880619,5.8
19880620,0
19880621,7.3
19880622,6.6
19880623,4.9
19880624,7.5
19880625,NA
19880626,NA
19880627,NA
19880628,3.2
19880629,7.3
19880630,10.2
19880701,3.3
19880702,6.6
19880703,3.7
19880704,7.2
19880705,4.3
19880706,8.1
19880707,6.4
19880708,4.3
19880709,4.1
