Date,Value
19790102,32.6
19790103,31.4
19790104,32.8
19790105,27.6
19790106,30.8
19790107,31.4
19790108,32.2
19790109,30.8
19790110,31.8
19790111,33
19790112,32.6
19790113,32.4
19790114,33.4
19790115,34
19790116,33.6
19790117,33.8
19790118,34.2
19790119,34.6
19790120,34.8
19790121,35.4
19790122,28
19790123,31.8
19790124,32.2
19790125,32.4
19790126,32.8
19790127,28.8
19790128,NA
19790129,29.4
19790130,32
19790131,32.4
19790201,31.8
19790202,33.6
19790203,NA
19790204,34.2
19790205,33.2
19790206,34
19790207,34.4
19790208,33.2
19790209,33
19790210,33.4
19790211,33
19790212,33.6
19790213,34.6
19790214,33.8
19790215,33.8
19790216,30
19790217,31.4
19790218,31.2
19790219,32.2
19790220,32.6
19790221,34.8
19790222,35
19790223,33
19790224,30.2
19790225,32.8
19790226,27.4
19790227,31.6
19790228,32.4
19790301,31.2
19790302,28.8
19790303,29.4
19790304,28
19790305,30.6
19790306,24
19790307,29.8
19790308,26
19790309,31
19790310,33
19790311,33.6
19790312,33.6
19790313,31.4
19790314,33.2
19790315,33
19790316,31.6
19790317,32
19790318,32.8
19790319,28.4
19790320,28.8
19790321,29.6
19790322,30.4
19790323,31.6
19790324,29.6
19790325,NA
19790326,30.8
19790327,32
19790328,33
19790329,32
19790330,33
19790331,34.2
19790401,33.6
19790402,32.4
19790403,NA
19790404,33.4
19790405,28.8
19790406,31.2
19790407,33.2
19790408,34.2
19790409,33.8
19790410,34
19790411,33.8
19790412,35.2
19790413,NA
19790414,31.2
19790415,32.4
19790416,35
19790417,33.4
19790418,31
19790419,33.8
19790420,32.6
19790421,32.8
19790422,29.4
19790423,28.4
19790424,33.2
19790425,31.2
19790426,30.8
19790427,30
19790428,26.6
19790429,30.4
19790430,34
19790501,29.8
19790502,31.6
19790503,30.6
19790504,33.6
19790505,32.2
19790506,32.6
19790507,34.2
19790508,34.4
19790509,32.8
19790510,33.6
19790511,31.2
19790512,NA
19790513,32.2
19790514,27.8
19790515,31.6
19790516,29.4
19790517,30.6
19790518,32.4
19790519,31
19790520,29.4
19790521,29.6
19790522,30.6
19790523,28.6
19790524,31.6
19790525,33.2
19790526,32.4
19790527,28.8
19790528,32.4
19790529,31
19790530,29.2
19790531,30.8
19790601,31.6
19790602,32.2
19790603,NA
19790604,29.2
19790605,28.8
19790606,NA
19790607,28.6
19790608,29.2
19790609,31
19790610,32.2
19790611,33
19790612,32.8
19790613,32.8
19790614,31.2
19790615,29
19790616,33
19790617,33.2
19790618,33.8
19790619,32.8
19790620,32.8
19790621,33.8
19790622,33.2
19790623,33.4
19790624,34.2
19790625,32.6
19790626,NA
19790627,34.2
19790628,32.6
19790629,32.8
19790630,31.8
19790701,NA
19790702,NA
19790703,35.2
19790704,33.6
19790705,34.2
19790706,32.2
19790707,33.6
19790708,35.6
19790709,33.8
19790710,35.2
19790711,34.6
19790712,35.4
19790713,33.6
19790714,31.4
19790715,30.8
19790716,31.8
19790717,32.8
19790718,NA
19790719,NA
19790720,NA
19790721,34.2
19790722,32
19790723,34.4
19790724,33.6
19790725,33.4
19790726,35.2
19790727,34.4
19790728,34.2
19790729,35.8
19790730,36
19790731,35
19790801,35.2
19790802,35
19790803,33.2
19790804,35.4
19790805,35.8
19790806,36.2
19790807,35.4
19790808,35.2
19790809,35.2
19790810,37.8
19790811,37.2
19790812,37.4
19790813,35.2
19790814,35.6
19790815,33.4
19790816,32.8
19790817,36
19790818,34
19790819,35
19790820,33.2
19790821,35.4
19790822,30.8
19790823,31.6
19790824,30
19790825,31.8
19790826,31.6
19790827,34.2
19790828,27.8
19790829,31.2
19790830,28.2
19790831,30.8
19790901,32
19790902,30.4
19790903,33
19790904,26.6
19790905,32.8
19790906,32.4
19790907,34
19790908,31
19790909,31.8
19790910,31.8
19790911,32
19790912,27.8
19790913,30.2
19790914,32
19790915,31.4
19790916,33
19790917,33.2
19790918,NA
19790919,30.4
19790920,31.6
19790921,32.4
19790922,30.2
19790923,NA
19790924,33.6
19790925,28.8
19790926,32.4
19790927,32.8
19790928,32.4
19790929,32.8
19790930,33
19791001,NA
19791002,NA
19791003,NA
19791004,NA
19791005,NA
19791006,NA
19791007,NA
19791008,NA
19791009,NA
19791010,NA
19791011,NA
19791012,NA
19791013,NA
19791014,NA
19791015,NA
19791016,NA
19791017,NA
19791018,NA
19791019,NA
19791020,NA
19791021,NA
19791022,NA
19791023,NA
19791024,NA
19791025,NA
19791026,NA
19791027,NA
19791028,NA
19791029,NA
19791030,NA
19791031,NA
19791101,NA
19791102,NA
19791103,NA
19791104,NA
19791105,NA
19791106,NA
19791107,NA
19791108,NA
19791109,NA
19791110,NA
19791111,NA
19791112,NA
19791113,NA
19791114,NA
19791115,NA
19791116,NA
19791117,NA
19791118,NA
19791119,NA
19791120,NA
19791121,NA
19791122,NA
19791123,NA
19791124,NA
19791125,NA
19791126,NA
19791127,NA
19791128,NA
19791129,NA
19791130,NA
19791201,NA
19791202,NA
19791203,NA
19791204,NA
19791205,NA
19791206,NA
19791207,NA
19791208,NA
19791209,NA
19791210,NA
19791211,NA
19791212,NA
19791213,NA
19791214,NA
19791215,NA
19791216,NA
19791217,NA
19791218,NA
19791219,NA
19791220,NA
19791221,NA
19791222,NA
19791223,NA
19791224,NA
19791225,NA
19791226,NA
19791227,NA
19791228,NA
19791229,NA
19791230,NA
19791231,NA
19800101,32
19800102,31.6
19800103,33.4
19800104,33.4
19800105,34
19800106,34
19800107,34.2
19800108,35.8
19800109,35.2
19800110,35
19800111,35
19800112,35.2
19800113,34.6
19800114,34.4
19800115,31.8
19800116,33
19800117,33.6
19800118,33.4
19800119,30.4
19800120,32.2
19800121,32.4
19800122,35.8
19800123,33.6
19800124,32.2
19800125,36.4
19800126,36.6
19800127,NA
19800128,34.4
19800129,35.4
19800130,28.4
19800131,33.2
19800201,31.2
19800202,31.8
19800203,33.8
19800204,NA
