Date,Value
19790103,21.2
19790104,23.6
19790105,23.4
19790106,22.4
19790107,21.2
19790108,21.2
19790109,22
19790110,22.2
19790111,21.6
19790112,21.6
19790113,23.8
19790114,22.8
19790115,23.8
19790116,21
19790117,21.8
19790118,21.6
19790119,20.6
19790120,22.2
19790121,21.6
19790122,19.8
19790123,21.8
19790124,22.4
19790125,24
19790126,24.4
19790127,23.6
19790128,23.2
19790129,20
19790130,21.6
19790131,20.8
19790201,21.8
19790202,23.2
19790203,NA
19790204,NA
19790205,21.6
19790206,21.2
19790207,21.6
19790208,18.4
19790209,20.6
19790210,21
19790211,21.8
19790212,20.4
19790213,21.6
19790214,20
19790215,21.8
19790216,22
19790217,23
19790218,20.4
19790219,21.4
19790220,19.8
19790221,20.4
19790222,21.8
19790223,21.2
19790224,19.2
19790225,22.6
19790226,18
19790227,20.4
19790228,20.6
19790301,22.2
19790302,21.4
19790303,19.6
19790304,22
19790305,22.6
19790306,20
19790307,21.6
19790308,20.6
19790309,22.8
19790310,21.2
19790311,21.2
19790312,19.8
19790313,23.2
19790314,21
19790315,20.8
19790316,22.6
19790317,22.2
19790318,20.6
19790319,21
19790320,23.8
19790321,20.6
19790322,22
19790323,22.2
19790324,22.4
19790325,NA
19790326,23.2
19790327,21.6
19790328,22.2
19790329,20.6
19790330,21.8
19790331,25
19790401,22.8
19790402,23.6
19790403,22.4
19790404,20
19790405,19.8
19790406,21.2
19790407,21.6
19790408,23.2
19790409,22
19790410,22.8
19790411,24.6
19790412,21.6
19790413,24.2
19790414,22.2
19790415,24
19790416,21.2
19790417,22.2
19790418,20
19790419,18.6
19790420,18.2
19790421,20.6
19790422,19.4
19790423,NA
19790424,21.6
19790425,21.4
19790426,22.8
19790427,22
19790428,22
19790429,22.8
19790430,22.4
19790501,21
19790502,21.8
19790503,NA
19790504,23.8
19790505,22.4
19790506,22
19790507,21.8
19790508,22
19790509,20.8
19790510,24.4
19790511,22.4
19790512,23.2
19790513,22.8
19790514,21.4
19790515,23.2
19790516,19.8
19790517,18.2
19790518,22.8
19790519,21.4
19790520,NA
19790521,21.8
19790522,22.4
19790523,20.6
19790524,23.6
19790525,21.8
19790526,22
19790527,21.8
19790528,22.6
19790529,21.6
19790530,22.2
19790531,NA
19790601,22.8
19790602,NA
19790603,24.4
19790604,20
19790605,23.8
19790606,20.2
19790607,19.8
19790608,22.2
19790609,21.6
19790610,21.6
19790611,20
19790612,21
19790613,23.6
19790614,20.6
19790615,21.4
19790616,23.2
19790617,21.6
19790618,22.8
19790619,21
19790620,NA
19790621,21.6
19790622,24.4
19790623,21.2
19790624,21.6
19790625,22
19790626,22
19790627,23.8
19790628,24.2
19790629,22.8
19790630,25.2
19790701,21.4
19790702,NA
19790703,19.4
19790704,21.8
19790705,21.8
19790706,24.2
19790707,24.4
19790708,19
19790709,25.4
19790710,24.2
19790711,22.2
19790712,21.2
19790713,21.8
19790714,21.2
19790715,21.6
19790716,21.2
19790717,21.6
19790718,21.6
19790719,21.2
19790720,23.6
19790721,18.6
19790722,20.2
19790723,21.4
19790724,22.2
19790725,21.8
19790726,20.2
19790727,21.4
19790728,21.8
19790729,22.4
19790730,20.8
19790731,22.6
19790801,22.8
19790802,22
19790803,21.8
19790804,21
19790805,20.8
19790806,20.2
19790807,20
19790808,20
19790809,20.2
19790810,18.4
19790811,23.6
19790812,22.2
19790813,21.6
19790814,22
19790815,21.6
19790816,23.2
19790817,21.8
19790818,21.2
19790819,22.2
19790820,21.2
19790821,22
19790822,21
19790823,19.8
19790824,NA
19790825,22.4
19790826,22.2
19790827,21.8
19790828,19.6
19790829,20.4
19790830,21.2
19790831,21.4
19790901,21.8
19790902,22.4
19790903,22
19790904,20.2
19790905,22.8
19790906,21.8
19790907,22.8
19790908,20.4
19790909,22.8
19790910,NA
19790911,21.4
19790912,NA
19790913,21.6
19790914,22.8
19790915,22.4
19790916,25
19790917,22
19790918,20.2
19790919,21.8
19790920,22
19790921,22.4
19790922,18
19790923,22.2
19790924,22.2
19790925,21
19790926,20.2
19790927,21.8
19790928,22.6
19790929,21.2
19790930,21.8
19791001,NA
19791002,NA
19791003,NA
19791004,NA
19791005,NA
19791006,NA
19791007,NA
19791008,NA
19791009,NA
19791010,NA
19791011,NA
19791012,NA
19791013,NA
19791014,NA
19791015,NA
19791016,NA
19791017,NA
19791018,NA
19791019,NA
19791020,NA
19791021,NA
19791022,NA
19791023,NA
19791024,NA
19791025,NA
19791026,NA
19791027,NA
19791028,NA
19791029,NA
19791030,NA
19791031,NA
19791101,NA
19791102,NA
19791103,NA
19791104,NA
19791105,NA
19791106,NA
19791107,NA
19791108,NA
19791109,NA
19791110,NA
19791111,NA
19791112,NA
19791113,NA
19791114,NA
19791115,NA
19791116,NA
19791117,NA
19791118,NA
19791119,NA
19791120,NA
19791121,NA
19791122,NA
19791123,NA
19791124,NA
19791125,NA
19791126,NA
19791127,NA
19791128,NA
19791129,NA
19791130,NA
19791201,NA
19791202,NA
19791203,NA
19791204,NA
19791205,NA
19791206,NA
19791207,NA
19791208,NA
19791209,NA
19791210,NA
19791211,NA
19791212,NA
19791213,NA
19791214,NA
19791215,NA
19791216,NA
19791217,NA
19791218,NA
19791219,NA
19791220,NA
19791221,NA
19791222,NA
19791223,NA
19791224,NA
19791225,NA
19791226,NA
19791227,NA
19791228,NA
19791229,NA
19791230,NA
19791231,NA
19800101,20.8
19800102,22
19800103,22.6
19800104,20.4
19800105,22.2
19800106,22.4
19800107,NA
19800108,21.8
19800109,22.2
19800110,23
19800111,NA
19800112,NA
19800113,NA
19800114,NA
19800115,NA
19800116,21.2
19800117,21.2
19800118,NA
19800119,21
19800120,22.6
19800121,22.2
19800122,22.4
19800123,21
19800124,24
19800125,NA
19800126,21.6
19800127,22.6
19800128,22
19800129,22.8
19800130,22.4
19800131,22.2
19800201,NA
19800202,23.2
19800203,23.8
19800204,20.8
19800205,NA
19800206,22.8
19800207,22.4
19800208,NA
19800209,23.4
19800210,23
19800211,23.8
19800212,23.6
19800213,24.2
19800214,22.6
19800215,23.8
19800216,23
19800217,22.4
19800218,23
19800219,20.8
19800220,NA
19800221,23.4
19800222,22.6
19800223,20.8
19800224,24.4
19800225,22.8
19800226,23.6
19800227,21.4
19800228,22.8
19800229,22.4
19800301,22.6
19800302,23.2
19800303,23.4
19800304,19.8
19800305,21
19800306,24.8
19800307,NA
19800308,24.2
19800309,NA
19800310,23.8
19800311,NA
19800312,23.6
19800313,NA
19800314,24.6
19800315,24
19800316,22.4
19800317,26
19800318,20.2
19800319,22
19800320,23.2
19800321,24.6
19800322,23
19800323,22.8
19800324,23.8
19800325,23.6
19800326,25.4
19800327,23.8
19800328,27.4
19800329,28
19800330,NA
19800331,23.2
19800401,24.8
19800402,23
19800403,24
19800404,24.2
19800405,24.2
19800406,22.8
19800407,22
19800408,23.4
19800409,23.8
19800410,22.2
19800411,23.2
19800412,23.2
19800413,24.4
19800414,21.4
19800415,22
19800416,23.6
19800417,24.8
19800418,23.8
19800419,NA
19800420,25.4
19800421,23
19800422,24.6
19800423,23.6
19800424,24
19800425,23.8
19800426,23
19800427,21.4
19800428,24
19800429,25
19800430,24.2
19800501,22.6
19800502,23.2
19800503,24.2
19800504,23.4
19800505,23.6
19800506,24.8
19800507,25.6
19800508,23.8
19800509,23.8
19800510,24.6
19800511,NA
19800512,24.2
19800513,24.2
19800514,23.8
19800515,23.2
19800516,22.8
19800517,25
19800518,24.2
19800519,22
19800520,23.8
19800521,23
19800522,NA
19800523,22.8
19800524,23.6
19800525,24.8
19800526,23.4
19800527,24.4
19800528,23.4
19800529,23.6
19800530,22.2
19800531,22.8
19800601,22.8
19800602,21.8
19800603,22.4
19800604,23.2
19800605,22.4
19800606,22.8
19800607,24
19800608,23.8
19800609,24.2
19800610,22.4
19800611,21.8
19800612,23.6
19800613,22.2
19800614,23.8
19800615,22.8
19800616,23.2
19800617,21.8
19800618,24.2
19800619,21.6
19800620,23.2
19800621,23.2
19800622,25.2
19800623,24.2
19800624,23
19800625,24.2
19800626,21.4
19800627,23.2
19800628,23
19800629,23.8
19800630,23
19800701,23.4
19800702,23.2
19800703,23.4
19800704,25.8
19800705,25.6
19800706,26.8
19800707,24.6
19800708,22.8
19800709,24
19800710,25.4
19800711,21.6
19800712,24.4
19800713,21.6
19800714,24
19800715,23.2
19800716,21
19800717,23.6
19800718,22.4
19800719,21.6
19800720,23.8
19800721,22.4
19800722,21.8
19800723,25
19800724,23.4
19800725,23
19800726,22
19800727,23
19800728,22.6
19800729,24.2
19800730,24.8
19800731,25
19800801,23
19800802,24
19800803,23.4
19800804,24.2
19800805,20.8
19800806,24.6
19800807,22.8
19800808,23.8
19800809,23.2
19800810,24.2
19800811,21.8
19800812,22.4
19800813,23
19800814,24.8
19800815,25.2
19800816,24.6
19800817,23
19800818,22
19800819,22.4
19800820,23.4
19800821,20
19800822,21.8
19800823,21.4
19800824,20.8
19800825,22.8
19800826,24.6
19800827,26
19800828,24.2
19800829,22.4
19800830,23.2
19800831,NA
19800901,22
19800902,23.6
19800903,24.2
19800904,23.6
19800905,22.8
19800906,21.2
19800907,24.6
19800908,24
19800909,25.2
19800910,24.2
19800911,21.2
19800912,26.2
19800913,NA
19800914,27
19800915,27
19800916,24.2
19800917,22.2
19800918,23.8
19800919,18.6
19800920,19.6
19800921,22.6
19800922,19
19800923,20
19800924,20.2
19800925,21.4
19800926,21.6
19800927,20.4
19800928,19.8
19800929,19.8
19800930,19.8
19801001,20
