Date,Hour,Value
8/5/2010,3:00 PM,44
8/5/2010,4:00 PM,46
8/5/2010,5:00 PM,45
8/5/2010,6:00 PM,48
8/5/2010,7:00 PM,51
8/5/2010,8:00 PM,50
8/5/2010,9:00 PM,52
8/5/2010,10:00 PM,54
8/5/2010,11:00 PM,55
8/6/2010,12:00 AM,55
8/6/2010,1:00 AM,56
8/6/2010,2:00 AM,54
8/6/2010,3:00 AM,53
8/6/2010,4:00 AM,50
8/6/2010,5:00 AM,48
8/6/2010,6:00 AM,50
8/6/2010,7:00 AM,56
8/6/2010,8:00 AM,58
8/6/2010,9:00 AM,48
8/6/2010,10:00 AM,38
8/6/2010,11:00 AM,40
8/6/2010,12:00 PM,34
8/6/2010,1:00 PM,38
8/6/2010,2:00 PM,38
8/6/2010,3:00 PM,34
8/6/2010,4:00 PM,38
8/6/2010,5:00 PM,41
8/6/2010,6:00 PM,48
8/6/2010,7:00 PM,49
8/6/2010,8:00 PM,57
8/6/2010,9:00 PM,69
8/6/2010,10:00 PM,61
8/6/2010,11:00 PM,74
8/7/2010,12:00 AM,85
8/7/2010,1:00 AM,86
8/7/2010,2:00 AM,88
8/7/2010,3:00 AM,89
8/7/2010,4:00 AM,88
8/7/2010,5:00 AM,90
8/7/2010,6:00 AM,90
8/7/2010,7:00 AM,90
8/7/2010,8:00 AM,82
8/7/2010,9:00 AM,69
8/7/2010,10:00 AM,62
8/7/2010,11:00 AM,52
8/7/2010,12:00 PM,44
8/7/2010,1:00 PM,47
8/7/2010,2:00 PM,47
8/7/2010,3:00 PM,49
8/7/2010,4:00 PM,49
8/7/2010,5:00 PM,53
8/7/2010,6:00 PM,67
8/7/2010,7:00 PM,73
8/7/2010,8:00 PM,78
8/7/2010,9:00 PM,83
8/7/2010,10:00 PM,83
8/7/2010,11:00 PM,82
8/8/2010,12:00 AM,88
8/8/2010,1:00 AM,91
8/8/2010,2:00 AM,89
8/8/2010,3:00 AM,88
8/8/2010,4:00 AM,89
8/8/2010,5:00 AM,91
8/8/2010,6:00 AM,92
8/8/2010,7:00 AM,87
8/8/2010,8:00 AM,77
8/8/2010,9:00 AM,69
8/8/2010,10:00 AM,56
8/8/2010,11:00 AM,47
8/8/2010,12:00 PM,46
8/9/2010,4:04 AM,NA
8/9/2010,5:00 AM,81
8/9/2010,6:00 AM,68
8/9/2010,7:00 AM,53
8/9/2010,8:00 AM,49
8/9/2010,9:00 AM,46
8/9/2010,10:00 AM,43
8/9/2010,11:00 AM,35
8/9/2010,12:00 PM,33
8/9/2010,1:00 PM,31
8/9/2010,2:00 PM,34
8/9/2010,3:00 PM,37
8/9/2010,4:00 PM,44
8/9/2010,5:00 PM,46
8/9/2010,6:00 PM,53
8/9/2010,7:00 PM,56
8/9/2010,8:00 PM,61
8/9/2010,9:00 PM,63
8/9/2010,10:00 PM,69
8/9/2010,11:00 PM,75
8/10/2010,12:00 AM,80
8/10/2010,1:00 AM,77
8/10/2010,2:00 AM,72
8/10/2010,3:00 AM,76
8/10/2010,4:00 AM,80
8/10/2010,5:00 AM,73
8/10/2010,6:00 AM,59
8/10/2010,7:00 AM,50
8/10/2010,8:00 AM,43
8/10/2010,9:00 AM,43
8/10/2010,10:00 AM,37
8/10/2010,11:00 AM,39
8/10/2010,12:00 PM,44
8/10/2010,1:00 PM,45
8/10/2010,2:00 PM,46
8/10/2010,3:00 PM,47
8/10/2010,4:00 PM,52
8/10/2010,5:00 PM,54
8/10/2010,6:00 PM,57
8/10/2010,7:00 PM,54
8/10/2010,8:00 PM,52
8/10/2010,9:00 PM,62
8/10/2010,10:00 PM,71
8/10/2010,11:00 PM,73
8/11/2010,12:00 AM,64
8/11/2010,5:18 AM,NA
8/11/2010,6:00 AM,49
8/11/2010,7:00 AM,45
8/11/2010,8:00 AM,41
8/11/2010,9:00 AM,42
8/11/2010,10:00 AM,44
8/11/2010,11:00 AM,46
8/11/2010,12:00 PM,44
8/11/2010,1:00 PM,46
8/11/2010,2:00 PM,46
8/12/2010,9:43 AM,NA
8/12/2010,10:00 AM,51
8/12/2010,11:00 AM,55
8/12/2010,12:00 PM,65
8/12/2010,1:00 PM,70
8/12/2010,2:00 PM,77
8/12/2010,3:00 PM,77
8/12/2010,4:00 PM,83
8/12/2010,5:00 PM,74
8/12/2010,6:00 PM,71
8/12/2010,7:00 PM,67
8/12/2010,8:00 PM,90
8/12/2010,9:00 PM,88
8/12/2010,10:00 PM,87
8/12/2010,11:00 PM,91
8/13/2010,12:00 AM,91
8/13/2010,1:00 AM,89
8/13/2010,2:00 AM,81
8/13/2010,3:00 AM,64
8/13/2010,4:00 AM,57
8/13/2010,5:00 AM,51
8/13/2010,6:00 AM,45
8/13/2010,7:00 AM,44
8/13/2010,8:00 AM,45
8/13/2010,9:00 AM,47
8/13/2010,10:00 AM,48
8/13/2010,11:00 AM,50
8/13/2010,12:00 PM,50
8/13/2010,1:00 PM,54
8/13/2010,2:00 PM,60
8/13/2010,3:00 PM,62
8/13/2010,4:00 PM,65
8/13/2010,5:00 PM,66
8/13/2010,6:00 PM,71
8/13/2010,7:00 PM,75
8/13/2010,8:00 PM,76
8/13/2010,9:00 PM,82
8/13/2010,10:00 PM,79
8/13/2010,11:00 PM,82
8/14/2010,12:00 AM,75
8/14/2010,1:00 AM,79
8/14/2010,2:00 AM,86
8/14/2010,3:00 AM,90
8/14/2010,4:00 AM,93
8/14/2010,5:00 AM,92
8/14/2010,6:00 AM,87
8/14/2010,7:00 AM,79
8/14/2010,8:00 AM,68
8/14/2010,9:00 AM,65
8/14/2010,10:00 AM,63
8/14/2010,11:00 AM,65
8/14/2010,12:00 PM,68
8/14/2010,1:00 PM,77
8/14/2010,2:00 PM,80
8/14/2010,3:00 PM,87
8/14/2010,4:00 PM,87
8/14/2010,5:00 PM,90
8/14/2010,6:00 PM,90
8/14/2010,7:00 PM,90
8/14/2010,8:00 PM,93
8/14/2010,9:00 PM,94
8/14/2010,10:00 PM,94
8/14/2010,11:00 PM,95
8/15/2010,12:00 AM,95
8/15/2010,1:00 AM,92
8/15/2010,2:00 AM,80
8/15/2010,3:00 AM,73
8/15/2010,4:00 AM,63
8/15/2010,5:00 AM,55
8/15/2010,6:00 AM,45
8/15/2010,7:00 AM,40
8/15/2010,8:00 AM,43
8/15/2010,9:00 AM,59
8/15/2010,10:00 AM,69
8/15/2010,11:00 AM,62
8/15/2010,12:00 PM,73
8/15/2010,1:00 PM,71
8/15/2010,2:00 PM,69
8/15/2010,3:00 PM,69
8/15/2010,4:00 PM,60
8/15/2010,5:00 PM,70
8/15/2010,6:00 PM,69
8/15/2010,7:00 PM,80
8/15/2010,8:00 PM,83
8/15/2010,9:00 PM,77
8/15/2010,10:00 PM,84
8/15/2010,11:00 PM,87
8/16/2010,12:00 AM,87
8/16/2010,1:00 AM,89
8/16/2010,2:00 AM,79
8/16/2010,3:00 AM,57
8/16/2010,4:00 AM,52
8/16/2010,5:00 AM,48
8/16/2010,6:00 AM,48
8/16/2010,7:00 AM,37
8/16/2010,8:00 AM,32
8/16/2010,9:00 AM,34
8/16/2010,10:00 AM,33
8/16/2010,11:00 AM,37
8/16/2010,12:00 PM,37
8/16/2010,1:00 PM,48
8/16/2010,2:00 PM,48
8/16/2010,3:00 PM,50
8/16/2010,4:00 PM,50
8/16/2010,5:00 PM,63
8/16/2010,6:00 PM,68
8/16/2010,7:00 PM,77
8/16/2010,8:00 PM,81
8/16/2010,9:00 PM,83
8/16/2010,10:00 PM,84
8/16/2010,11:00 PM,84
8/17/2010,12:00 AM,85
8/17/2010,1:00 AM,84
8/17/2010,2:00 AM,74
8/17/2010,3:00 AM,60
8/17/2010,4:00 AM,62
8/17/2010,11:00 AM,56
8/17/2010,12:00 PM,50
8/17/2010,1:00 PM,48
8/17/2010,2:00 PM,47
8/17/2010,3:00 PM,46
8/17/2010,4:00 PM,48
8/17/2010,5:00 PM,51
8/17/2010,6:00 PM,56
8/17/2010,7:00 PM,68
8/17/2010,8:00 PM,69
8/17/2010,9:00 PM,79
8/17/2010,10:00 PM,83
8/17/2010,11:00 PM,83
8/18/2010,12:00 AM,84
8/18/2010,1:00 AM,88
8/18/2010,2:00 AM,91
8/18/2010,3:00 AM,91
8/18/2010,4:00 AM,92
8/18/2010,5:00 AM,91
8/18/2010,6:00 AM,88
8/18/2010,7:00 AM,88
8/18/2010,8:00 AM,86
8/18/2010,9:00 AM,84
8/18/2010,10:00 AM,79
8/18/2010,11:00 AM,73
8/18/2010,12:00 PM,68
8/18/2010,1:00 PM,68
8/18/2010,2:00 PM,68
8/18/2010,3:00 PM,61
8/18/2010,4:00 PM,60
8/18/2010,5:00 PM,59
8/18/2010,6:00 PM,63
8/18/2010,7:00 PM,72
8/18/2010,8:00 PM,82
8/18/2010,9:00 PM,83
8/18/2010,10:00 PM,84
8/18/2010,11:00 PM,88
8/19/2010,12:00 AM,87
8/19/2010,1:00 AM,88
8/19/2010,2:00 AM,92
8/19/2010,3:00 AM,91
8/19/2010,4:00 AM,91
8/19/2010,5:00 AM,89
8/19/2010,6:00 AM,90
8/19/2010,7:00 AM,86
8/19/2010,8:00 AM,80
8/19/2010,9:00 AM,75
8/19/2010,10:00 AM,67
8/19/2010,11:00 AM,65
8/19/2010,12:00 PM,61
8/19/2010,1:00 PM,57
8/19/2010,2:00 PM,54
8/19/2010,3:00 PM,53
8/19/2010,4:00 PM,51
8/19/2010,5:00 PM,61
8/19/2010,6:00 PM,67
8/19/2010,7:00 PM,74
8/19/2010,8:00 PM,79
8/19/2010,9:00 PM,80
8/19/2010,10:00 PM,81
8/19/2010,11:00 PM,82
8/20/2010,12:00 AM,86
8/20/2010,1:00 AM,88
8/20/2010,2:00 AM,88
8/20/2010,3:00 AM,91
8/20/2010,4:00 AM,93
8/20/2010,5:00 AM,94
8/20/2010,6:00 AM,95
8/20/2010,7:00 AM,93
8/20/2010,8:00 AM,86
8/20/2010,9:00 AM,74
8/20/2010,10:00 AM,63
8/20/2010,11:00 AM,55
8/20/2010,12:00 PM,49
8/20/2010,1:00 PM,43
8/20/2010,2:00 PM,39
8/20/2010,3:00 PM,37
8/20/2010,4:00 PM,32
8/20/2010,5:00 PM,37
8/20/2010,6:00 PM,50
8/20/2010,7:00 PM,58
8/20/2010,8:00 PM,65
8/20/2010,9:00 PM,71
8/20/2010,10:00 PM,75
8/20/2010,11:00 PM,83
8/21/2010,12:00 AM,81
8/21/2010,1:00 AM,83
8/21/2010,2:00 AM,85
8/21/2010,3:00 AM,89
8/21/2010,4:00 AM,89
8/21/2010,5:00 AM,91
8/21/2010,6:00 AM,87
8/21/2010,7:00 AM,85
8/21/2010,8:00 AM,79
8/21/2010,9:00 AM,66
8/21/2010,10:00 AM,55
8/21/2010,11:00 AM,46
8/21/2010,12:00 PM,43
8/21/2010,1:00 PM,55
8/21/2010,2:00 PM,57
8/21/2010,3:00 PM,50
8/21/2010,4:00 PM,50
8/21/2010,5:00 PM,50
8/21/2010,6:00 PM,52
8/21/2010,7:00 PM,51
8/21/2010,8:00 PM,52
8/21/2010,9:00 PM,54
8/21/2010,10:00 PM,55
8/21/2010,11:00 PM,53
8/22/2010,12:00 AM,55
8/22/2010,1:00 AM,60
8/22/2010,2:00 AM,64
8/22/2010,3:00 AM,78
8/22/2010,4:00 AM,81
8/22/2010,5:00 AM,85
8/22/2010,6:00 AM,84
8/22/2010,7:00 AM,84
8/22/2010,8:00 AM,82
8/22/2010,9:00 AM,61
8/22/2010,10:00 AM,51
8/22/2010,11:00 AM,45
8/22/2010,12:00 PM,50
8/22/2010,1:00 PM,44
8/22/2010,2:00 PM,40
8/22/2010,3:00 PM,41
8/22/2010,4:00 PM,43
8/22/2010,5:00 PM,41
8/22/2010,6:00 PM,47
8/22/2010,7:00 PM,53
8/22/2010,8:00 PM,57
8/22/2010,9:00 PM,69
8/22/2010,10:00 PM,76
8/22/2010,11:00 PM,81
8/23/2010,12:00 AM,86
8/23/2010,1:00 AM,85
8/23/2010,2:00 AM,82
8/23/2010,3:00 AM,85
8/23/2010,4:00 AM,87
8/23/2010,5:00 AM,87
8/23/2010,6:00 AM,86
8/23/2010,7:00 AM,87
8/23/2010,8:00 AM,75
8/23/2010,9:00 AM,70
8/23/2010,10:00 AM,62
8/23/2010,11:00 AM,57
8/23/2010,12:00 PM,53
8/23/2010,1:00 PM,56
8/23/2010,2:00 PM,54
8/23/2010,3:00 PM,48
8/23/2010,4:00 PM,49
8/23/2010,5:00 PM,49
8/23/2010,6:00 PM,62
8/23/2010,7:00 PM,65
8/23/2010,8:00 PM,69
8/23/2010,9:00 PM,73
8/23/2010,10:00 PM,81
8/23/2010,11:00 PM,79
8/24/2010,12:00 AM,78
8/24/2010,1:00 AM,84
8/24/2010,2:00 AM,85
8/24/2010,3:00 AM,89
8/24/2010,4:00 AM,88
8/24/2010,5:00 AM,87
8/24/2010,6:00 AM,89
8/24/2010,7:00 AM,89
8/24/2010,8:00 AM,80
8/24/2010,9:00 AM,73
8/24/2010,10:00 AM,68
8/24/2010,11:00 AM,66
8/24/2010,12:00 PM,69
8/24/2010,1:00 PM,66
8/24/2010,2:00 PM,60
8/24/2010,3:00 PM,57
8/24/2010,4:00 PM,64
8/24/2010,5:00 PM,65
8/24/2010,6:00 PM,67
8/24/2010,7:00 PM,79
8/24/2010,8:00 PM,83
8/24/2010,9:00 PM,82
8/24/2010,10:00 PM,84
8/24/2010,11:00 PM,86
8/25/2010,12:00 AM,88
8/25/2010,1:00 AM,90
8/25/2010,2:00 AM,87
8/25/2010,3:00 AM,90
8/25/2010,4:00 AM,92
8/25/2010,5:00 AM,92
8/25/2010,6:00 AM,92
8/25/2010,7:00 AM,90
8/25/2010,8:00 AM,80
8/25/2010,9:00 AM,94
8/25/2010,10:00 AM,90
8/25/2010,11:00 AM,83
8/25/2010,12:00 PM,86
8/25/2010,1:00 PM,83
8/25/2010,2:00 PM,87
8/25/2010,3:00 PM,87
8/25/2010,4:00 PM,88
8/25/2010,5:00 PM,87
