Date,Hour,Value
8/5/2010,3:00 PM,720.4102041
8/5/2010,4:00 PM,539.2897959
8/5/2010,5:00 PM,370.1510204
8/5/2010,6:00 PM,98.06326531
8/5/2010,7:00 PM,1.046938776
8/5/2010,8:00 PM,0
8/5/2010,9:00 PM,0
8/5/2010,10:00 PM,0
8/5/2010,11:00 PM,0
8/6/2010,12:00 AM,0
8/6/2010,1:00 AM,0
8/6/2010,2:00 AM,0
8/6/2010,3:00 AM,0
8/6/2010,4:00 AM,0
8/6/2010,5:00 AM,0
8/6/2010,6:00 AM,0
8/6/2010,7:00 AM,25.01020408
8/6/2010,8:00 AM,131.1
8/6/2010,9:00 AM,294.1897959
8/6/2010,10:00 AM,550.3408163
8/6/2010,11:00 AM,943.5244898
8/6/2010,12:00 PM,770.4306122
8/6/2010,1:00 PM,659.3387755
8/6/2010,2:00 PM,529.2857143
8/6/2010,3:00 PM,599.3142857
8/6/2010,4:00 PM,481.2428571
8/6/2010,5:00 PM,231.1408163
8/6/2010,6:00 PM,45.01836735
8/6/2010,7:00 PM,0
8/6/2010,8:00 PM,0
8/6/2010,9:00 PM,0
8/6/2010,10:00 PM,0
8/6/2010,11:00 PM,0
8/7/2010,12:00 AM,0
8/7/2010,1:00 AM,0
8/7/2010,2:00 AM,0
8/7/2010,3:00 AM,0
8/7/2010,4:00 AM,0
8/7/2010,5:00 AM,0
8/7/2010,6:00 AM,0
8/7/2010,7:00 AM,26.05714286
8/7/2010,8:00 AM,127.0285714
8/7/2010,9:00 AM,342.2326531
8/7/2010,10:00 AM,464.2591837
8/7/2010,11:00 AM,713.4306122
8/7/2010,12:00 PM,828.477551
8/7/2010,1:00 PM,868.4938776
8/7/2010,2:00 PM,511.255102
8/7/2010,3:00 PM,373.1755102
8/7/2010,4:00 PM,276.1591837
8/7/2010,5:00 PM,146.1061224
8/7/2010,6:00 PM,46.06530612
8/7/2010,7:00 PM,0
8/7/2010,8:00 PM,0
8/7/2010,9:00 PM,0
8/7/2010,10:00 PM,0
8/7/2010,11:00 PM,0
8/8/2010,12:00 AM,0
8/8/2010,1:00 AM,0
8/8/2010,2:00 AM,0
8/8/2010,3:00 AM,0
8/8/2010,4:00 AM,0
8/8/2010,5:00 AM,0
8/8/2010,6:00 AM,1.046938776
8/8/2010,7:00 AM,78.05510204
8/8/2010,8:00 AM,281.1612245
8/8/2010,9:00 AM,544.2918367
8/8/2010,10:00 AM,743.4428571
8/8/2010,11:00 AM,897.4591837
8/8/2010,12:00 PM,981.5632653
8/9/2010,4:04 AM,NA
8/9/2010,5:00 AM,157.0408163
8/9/2010,6:00 AM,490.3163265
8/9/2010,7:00 AM,710.4061224
8/9/2010,8:00 AM,910.4877551
8/9/2010,9:00 AM,954.4591837
8/9/2010,10:00 AM,833.4795918
8/9/2010,11:00 AM,972.4897959
8/9/2010,12:00 PM,772.4081633
8/9/2010,1:00 PM,608.2714286
8/9/2010,2:00 PM,371.1979592
8/9/2010,3:00 PM,131.1
8/9/2010,4:00 PM,3.955102041
8/9/2010,5:00 PM,0
8/9/2010,6:00 PM,0
8/9/2010,7:00 PM,0
8/9/2010,8:00 PM,0
8/9/2010,9:00 PM,0
8/9/2010,10:00 PM,0
8/9/2010,11:00 PM,0
8/10/2010,12:00 AM,0
8/10/2010,1:00 AM,0
8/10/2010,2:00 AM,0
8/10/2010,3:00 AM,0
8/10/2010,4:00 AM,38.96938776
8/10/2010,5:00 AM,166.1142857
8/10/2010,6:00 AM,513.2326531
8/10/2010,7:00 AM,708.4285714
8/10/2010,8:00 AM,861.5142857
8/10/2010,9:00 AM,968.5346939
8/10/2010,10:00 AM,1001.571429
8/10/2010,11:00 AM,626.3020408
8/10/2010,12:00 PM,412.2612245
8/10/2010,1:00 PM,328.1571429
8/10/2010,2:00 PM,174.1408163
8/10/2010,3:00 PM,115.0469388
8/10/2010,4:00 PM,6.048979592
8/10/2010,5:00 PM,0
8/10/2010,6:00 PM,0
8/10/2010,7:00 PM,0
8/10/2010,8:00 PM,0
8/10/2010,9:00 PM,0
8/10/2010,10:00 PM,0
8/10/2010,11:00 PM,0
8/11/2010,12:00 AM,0
8/11/2010,5:18 AM,NA
8/11/2010,6:00 AM,646.3102041
8/11/2010,7:00 AM,891.5265306
8/11/2010,8:00 AM,952.4816327
8/11/2010,9:00 AM,606.2938776
8/11/2010,10:00 AM,676.322449
8/11/2010,11:00 AM,268.1326531
8/11/2010,12:00 PM,181.1204082
8/11/2010,1:00 PM,16.05306122
8/11/2010,2:00 PM,0
8/12/2010,9:43 AM,NA
8/12/2010,10:00 AM,171.1163265
8/12/2010,11:00 AM,117.0244898
8/12/2010,12:00 PM,26.05714286
8/12/2010,1:00 PM,0
8/12/2010,2:00 PM,0
8/12/2010,3:00 PM,0
8/12/2010,4:00 PM,0
8/12/2010,5:00 PM,0
8/12/2010,6:00 PM,0
8/12/2010,7:00 PM,0
8/12/2010,8:00 PM,0
8/12/2010,9:00 PM,0
8/12/2010,10:00 PM,0
8/12/2010,11:00 PM,0
8/13/2010,12:00 AM,0
8/13/2010,1:00 AM,48.04285714
8/13/2010,2:00 AM,165.0673469
8/13/2010,3:00 AM,333.1591837
8/13/2010,4:00 AM,728.4367347
8/13/2010,5:00 AM,897.4591837
8/13/2010,6:00 AM,972.4897959
8/13/2010,7:00 AM,991.5673469
8/13/2010,8:00 AM,841.5061224
8/13/2010,9:00 AM,708.4285714
8/13/2010,10:00 AM,518.2346939
8/13/2010,11:00 AM,291.1653061
